Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2022 00:00;01.01.2022 01:00;4.232,50;1.465,75;5.975,50;25.570,25;2,00;157,00;3.304,75;3.562,00;2.039,25;3.491,50;416,50;1.454,75
01.01.2022 01:00;01.01.2022 02:00;4.220,00;1.518,00;5.775,25;24.318,25;2,00;158,00;3.348,00;3.546,75;2.049,75;3.406,75;414,75;1.453,50
01.01.2022 02:00;01.01.2022 03:00;4.222,50;1.468,00;5.548,00;23.169,50;2,00;159,00;3.344,25;3.495,00;2.033,25;3.401,50;379,75;1.445,50
01.01.2022 03:00;01.01.2022 04:00;4.227,50;1.452,75;5.382,75;22.092,50;2,00;159,50;3.342,50;3.504,75;2.023,75;3.406,75;321,25;1.441,75
01.01.2022 04:00;01.01.2022 05:00;4.231,50;1.498,00;5.586,50;20.607,00;2,00;158,50;3.342,50;3.537,50;2.013,25;3.421,50;244,25;1.435,25
01.01.2022 05:00;01.01.2022 06:00;4.244,25;1.478,50;4.531,25;19.575,25;2,00;158,50;3.347,25;3.767,00;2.014,00;3.412,50;212,75;1.441,50
01.01.2022 06:00;01.01.2022 07:00;4.293,00;1.439,50;4.514,75;19.274,50;2,00;158,00;3.343,25;3.876,25;2.031,25;3.409,50;167,00;1.444,50
01.01.2022 07:00;01.01.2022 08:00;4.367,25;1.441,00;4.850,00;18.045,50;2,00;158,00;3.329,25;3.869,50;2.361,50;3.431,75;275,25;1.453,00
01.01.2022 08:00;01.01.2022 09:00;4.487,75;1.459,75;4.172,00;16.691,75;224,00;158,75;3.343,50;3.981,75;2.448,75;3.568,00;183,25;1.451,25
01.01.2022 09:00;01.01.2022 10:00;4.529,75;1.457,75;4.214,00;15.714,75;1.804,00;158,25;3.330,75;4.209,50;2.461,50;3.489,25;141,00;1.444,75
