,Biomasse [GWh],Wasserkraft [GWh],Wind Offshore [GWh],Wind Onshore [GWh],Photovoltaik [GWh],Sonstige Erneuerbare [GWh],Braunkohle [GWh],Steinkohle [GWh],Erdgas [GWh],Pumpspeicher [GWh],Sonstige Konventionelle [GWh],Day-ahead-price GER
Biomasse [GWh],1.0,-0.403,0.199,0.175,-0.537,0.767,0.279,0.311,0.314,0.03,-0.06,-0.214
Wasserkraft [GWh],-0.403,1.0,-0.311,-0.308,0.46,-0.449,-0.195,-0.384,-0.072,0.059,-0.031,-0.313
Wind Offshore [GWh],0.199,-0.311,1.0,0.695,-0.411,0.233,-0.238,-0.133,-0.151,-0.028,0.065,-0.158
Wind Onshore [GWh],0.175,-0.308,0.695,1.0,-0.416,0.14,-0.446,-0.221,-0.262,-0.042,0.124,-0.201
Photovoltaik [GWh],-0.537,0.46,-0.411,-0.416,1.0,-0.627,-0.32,-0.428,-0.375,0.021,-0.132,0.065
Sonstige Erneuerbare [GWh],0.767,-0.449,0.233,0.14,-0.627,1.0,0.385,0.412,0.457,0.017,-0.005,-0.178
Braunkohle [GWh],0.279,-0.195,-0.238,-0.446,-0.32,0.385,1.0,0.753,0.548,0.048,-0.132,0.313
Steinkohle [GWh],0.311,-0.384,-0.133,-0.221,-0.428,0.412,0.753,1.0,0.541,0.165,-0.047,0.45
Erdgas [GWh],0.314,-0.072,-0.151,-0.262,-0.375,0.457,0.548,0.541,1.0,0.221,0.175,-0.028
Pumpspeicher [GWh],0.03,0.059,-0.028,-0.042,0.021,0.017,0.048,0.165,0.221,1.0,0.113,0.042
Sonstige Konventionelle [GWh],-0.06,-0.031,0.065,0.124,-0.132,-0.005,-0.132,-0.047,0.175,0.113,1.0,-0.192
Day-ahead-price GER,-0.214,-0.313,-0.158,-0.201,0.065,-0.178,0.313,0.45,-0.028,0.042,-0.192,1.0
